,ds,y,unique_id
70,1992-11-01,77.924294300491,0
71,1992-12-01,77.483536642624,0
72,1993-01-01,77.65283249901,0
73,1993-02-01,76.991263521783,0
74,1993-03-01,76.620608559878,0
75,1993-04-01,75.910941693927,0
76,1993-05-01,75.546371854034,0
77,1993-06-01,75.051297121334,0
78,1993-07-01,74.48665620448901,0
79,1993-08-01,74.182396802586,0
80,1993-09-01,74.270598252352,0
81,1993-10-01,74.25958502869099,0
82,1993-11-01,74.305430337313,0
83,1993-12-01,74.10609493422301,0
84,1994-01-01,74.27020935331299,0
85,1994-02-01,74.107179972819,0
86,1994-03-01,74.014579960667,0
87,1994-04-01,74.02044372197099,0
88,1994-05-01,74.247316813967,0
89,1994-06-01,74.441342063597,0
90,1994-07-01,74.553319982733,0
91,1994-08-01,74.189142422866,0
92,1994-09-01,73.70526548004001,0
93,1994-10-01,73.73426129297499,0
94,1994-11-01,73.457199619831,0
95,1994-12-01,73.442733901094,0
96,1995-01-01,73.052337382554,0
97,1995-02-01,73.163780296745,0
98,1995-03-01,73.000537953937,0
99,1995-04-01,72.922918173748,0
100,1995-05-01,72.52563721247401,0
101,1995-06-01,72.100488519715,0
102,1995-07-01,72.090634778139,0
103,1995-08-01,72.14060563654701,0
104,1995-09-01,72.18940194409001,0
105,1995-10-01,72.105624126649,0
106,1995-11-01,71.70348347702401,0
107,1995-12-01,71.810806583258,0
108,1996-01-01,71.891405070885,0
109,1996-02-01,72.04106421712301,0
110,1996-03-01,71.764444832528,0
111,1996-04-01,71.820506006788,0
112,1996-05-01,71.963622119284,0
113,1996-06-01,71.833957763948,0
114,1996-07-01,71.720059755654,0
115,1996-08-01,71.39031591674501,0
116,1996-09-01,71.705655594603,0
117,1996-10-01,71.833716815282,0
118,1996-11-01,72.14724922479999,0
119,1996-12-01,72.21576184215701,0
120,1997-01-01,72.56019998517901,0
121,1997-02-01,72.75100589595999,0
122,1997-03-01,72.974565222867,0
123,1997-04-01,73.248140970278,0
124,1997-05-01,73.494720980963,0
125,1997-06-01,74.054951021873,0
126,1997-07-01,74.415430344832,0
127,1997-08-01,75.006296666474,0
128,1997-09-01,75.3822283725,0
129,1997-10-01,76.198723611584,0
130,1997-11-01,76.733738105223,0
131,1997-12-01,78.086751473854,0
132,1998-01-01,78.976664998057,0
133,1998-02-01,79.88835745404,0
134,1998-03-01,81.009928199163,0
135,1998-04-01,82.07738989898401,0
136,1998-05-01,83.094601979871,0
137,1998-06-01,84.050771510551,0
138,1998-07-01,85.14710979589,0
139,1998-08-01,86.18052211928101,0
140,1998-09-01,87.131301167043,0
141,1998-10-01,87.70665376004699,0
142,1998-11-01,88.21181482673201,0
143,1998-12-01,88.89799502806801,0
144,1999-01-01,90.10590451814899,0
145,1999-02-01,91.134509637264,0
146,1999-03-01,91.98686191410299,0
147,1999-04-01,92.49440120793301,0
148,1999-05-01,93.090953507799,0
149,1999-06-01,94.06513658548599,0
150,1999-07-01,94.954784812205,0
151,1999-08-01,95.884833330944,0
152,1999-09-01,96.95752178143299,0
153,1999-10-01,98.021297048853,0
154,1999-11-01,99.06876316426501,0
155,1999-12-01,100.073712911124,0
156,2000-01-01,101.10456506198,0
157,2000-02-01,102.40957600764601,0
158,2000-03-01,104.09094463837,0
159,2000-04-01,105.707103034591,0
160,2000-05-01,107.134848320996,0
161,2000-06-01,108.967209303608,0
162,2000-07-01,110.316534803137,0
163,2000-08-01,111.672748361609,0
164,2000-09-01,112.656076764513,0
165,2000-10-01,113.469762774159,0
166,2000-11-01,115.252997835535,0
167,2000-12-01,116.96094282841699,0
168,2001-01-01,118.901364608876,0
169,2001-02-01,120.144183797224,0
170,2001-03-01,122.32118386849501,0
171,2001-04-01,123.36160502488801,0
172,2001-05-01,124.277736872337,0
173,2001-06-01,124.51575897910101,0
174,2001-07-01,125.28597637201,0
175,2001-08-01,125.870323798243,0
176,2001-09-01,126.977730876852,0
177,2001-10-01,128.152068686458,0
178,2001-11-01,129.350874535184,0
179,2001-12-01,129.987983077381,0
180,2002-01-01,130.318187902843,0
181,2002-02-01,131.729688063709,0
182,2002-03-01,133.193396418075,0
183,2002-04-01,135.648585528939,0
184,2002-05-01,138.132800747624,0
185,2002-06-01,140.53807264936398,0
186,2002-07-01,142.872082410137,0
187,2002-08-01,145.704847504638,0
188,2002-09-01,148.04275869123302,0
189,2002-10-01,150.58923846792,0
190,2002-11-01,153.04056043968,0
191,2002-12-01,155.197720594853,0
192,2003-01-01,157.295770989283,0
193,2003-02-01,158.50036799596,0
194,2003-03-01,159.698668697206,0
195,2003-04-01,161.098474981345,0
196,2003-05-01,162.582601179753,0
197,2003-06-01,164.200747759949,0
198,2003-07-01,166.359199412372,0
199,2003-08-01,169.427133646596,0
200,2003-09-01,173.15114055329101,0
201,2003-10-01,177.15346879210801,0
202,2003-11-01,181.11232174604197,0
203,2003-12-01,185.04518732487998,0
204,2004-01-01,188.62953442165698,0
205,2004-02-01,192.670860741693,0
206,2004-03-01,199.058504195429,0
207,2004-04-01,204.923238490793,0
208,2004-05-01,211.083968248112,0
209,2004-06-01,216.724678683381,0
210,2004-07-01,221.872783531083,0
211,2004-08-01,225.122106049083,0
212,2004-09-01,227.986899907562,0
213,2004-10-01,230.267433152713,0
214,2004-11-01,231.76257312480098,0
215,2004-12-01,234.30013340239398,0
216,2005-01-01,236.71445682676898,0
217,2005-02-01,239.02809552026298,0
218,2005-03-01,239.915636019754,0
219,2005-04-01,241.298752540485,0
220,2005-05-01,242.32917948038101,0
221,2005-06-01,243.653931268611,0
222,2005-07-01,244.51641363561401,0
223,2005-08-01,245.504106023446,0
224,2005-09-01,245.951982574818,0
225,2005-10-01,247.71354293043598,0
